Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Reduced_Cost_Estimate.csv,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,1415.25,16983.00,USD,Number of NAT Gateways (1)
Reduced_Cost_Estimate.csv,US East (N. Virginia),S3 Standard,0,561.3,6735.60,USD,S3 Standard storage (10 TB per month)
Reduced_Cost_Estimate.csv,US East (N. Virginia),Data Transfer,0,0,0.00,USD," Inbound (from: Internet) 1 TB per month 
 Outbound (to: Amazon Cloud Front) 20 TB per month 
"
Reduced_Cost_Estimate.csv,US East (N. Virginia),Amazon RDS for PostgreSQL,0,3036.48,36437.76,USD,"Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (2 TB per month), Additional backup storage (5 TB)"
Reduced_Cost_Estimate.csv,US East (N. Virginia),Amazon EC2,0,958.04,11496.48,USD,"Operating system (Linux), Quantity (40), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t2.medium)"
Reduced_Cost_Estimate.csv,US East (N. Virginia),Elastic Load Balancing,0,32.870000000000005,394.44,USD,Number of Application Load Balancers (2)
Reduced_Cost_Estimate.csv,US East (N. Virginia),Amazon Elastic IP,0,0,0.00,USD,"Number of EC2 instances (1), Number of EIPs per instance (1)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
