Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Increased_Cost Estimate.csv,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,1182.6,14191.20,USD,Number of NAT Gateways (1)
Increased_Cost Estimate.csv,US East (Ohio),S3 Standard,0,561.3,6735.60,USD,S3 Standard storage (10 TB per month)
Increased_Cost Estimate.csv,US East (Ohio),Data Transfer,0,0,0.00,USD," Inbound (from: Internet) 1 TB per month 
 Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Amazon Cloud Front) 20 TB per month 
"
Increased_Cost Estimate.csv,US East (N. Virginia),Amazon RDS for PostgreSQL,0,5115.5199999999995,61386.24,USD,"Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (2 TB per month), Additional backup storage (5 TB)"
Increased_Cost Estimate.csv,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,1791.91,21502.92,USD," Inbound (from: Internet) 20 TB per month 
 Outbound (to: Internet) 20 TB per month 
 Intra-Region 0 TB per month 
"
Increased_Cost Estimate.csv,US East (N. Virginia),Amazon EC2,0,2546.78,30561.36,USD,"Operating system (Linux), Quantity (36), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t2.large)"
Increased_Cost Estimate.csv,US East (N. Virginia),Elastic Load Balancing,0,79.57,954.84,USD,Number of Application Load Balancers (2)
Increased_Cost Estimate.csv,US East (Ohio),Amazon RDS for PostgreSQL,0,2800.96,33611.52,USD,"Quantity (1), Storage volume (General Purpose SSD (gp2)), Storage amount (2 TB per month), Additional backup storage (5 TB)"
Increased_Cost Estimate.csv,US East (Ohio),Amazon Virtual Private Cloud (VPC),0,1182.6,14191.20,USD,Number of NAT Gateways (1)
Increased_Cost Estimate.csv,US East (Ohio),S3 Standard,0,561.3,6735.60,USD,S3 Standard storage (10 TB per month)
Increased_Cost Estimate.csv,US East (Ohio),Data Transfer,0,0,0.00,USD," Inbound (from: Internet) 1 TB per month 
 Outbound (to: Amazon Cloud Front) 20 TB per month 
"
Increased_Cost Estimate.csv,US East (Ohio),Amazon EC2,0,1273.39,15280.68,USD,"Operating system (Linux), Quantity (18), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t2.large)"
Increased_Cost Estimate.csv,US East (Ohio),Amazon Virtual Private Cloud (VPC),0,1791.91,21502.92,USD," Inbound (from: Internet) 0 TB per month 
 Outbound (to: Internet) 20 TB per month 
 Intra-Region 0 TB per month 
"
Increased_Cost Estimate.csv,US East (Ohio),Elastic Load Balancing,0,39.79,477.48,USD,Number of Application Load Balancers (1)



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
